event_start,event_end,event_peak,event_peak_D_s-1,event_peak_D_1e5_s-1,duration_hours,year,month,season_year,detection_threshold_s-1,detection_threshold_1e5_s-1,slp_diff_hpa,zeta_box_mean_s-1,slp_climatology_mean_hpa,slp_climatology_std_hpa,monsoon_type,shinoda_class,episode_span_hours,threshold_hit_hours,merged_subevents_count,total_internal_gap_hours,max_internal_gap_hours,peak_max_convergence_s-1,peak_max_convergence_1e5_s-1,peak_max_convergence_lat,peak_max_convergence_lon,peak_convergence_centroid_lat,peak_convergence_centroid_lon,candidate_peak_convergence_1e5_s-1,candidate_duration_weighted_convergence,candidate_positive_box_vorticity_1e5_s-1,candidate_peak_duration_vorticity_index,candidate_peak_convergence_percentile,convergence_intensity_auto,lat_position_group_auto,lon_position_group_auto,verified_event,cloud_band_present,position_group_manual,convergence_intensity_manual,manual_peak_convergence_lat,manual_peak_convergence_lon,satellite_checked,satellite_cloud_band_match,satellite_source,satellite_notes,upper_level_forcing_note,verification_notes
2000-01-05 23:00:00,2000-01-06 00:00:00,2000-01-05 23:00:00,-2.438025602133022e-05,-2.438025602133022,2,2000,1,2000,-2.4251929268451687e-05,-2.4251929268451686,-15.108671875000027,4.735963930407424e-06,11.12716293334961,8.703954696655273,Type 2 weak-monsoon,Type 2 weak-monsoon,2,2,1,0.0,0.0,0.0001919602843619,19.196028436195256,39.5,131.5,38.58559876712006,131.99694166335323,2.438025602133022,4.876051204266044,0.4735963930407424,2.3092802626223667,29.85074626865672,low-convergence,north-shifted,central,yes,,,,,,,,,,,flow direction is flipped
2000-01-13 08:00:00,2000-01-13 14:00:00,2000-01-13 11:00:00,-2.97237690728246e-05,-2.972376907282459,7,2000,1,2000,-2.4251929268451687e-05,-2.4251929268451686,-0.3018749999999954,7.313869590894937e-06,11.12716293334961,8.703954696655273,Type 2 weak-monsoon,Type 2 weak-monsoon,7,7,1,0.0,0.0,0.0001994457188614,19.94457188614968,38.25,134.0,38.471204953785545,132.60741580647095,2.972376907282459,20.806638350977213,0.7313869590894937,15.21770395239606,62.68656716417911,moderate-convergence,central,east-shifted,yes,,,,,,,,,,,
2000-01-19 22:00:00,2000-01-20 08:00:00,2000-01-20 04:00:00,-2.9279717066073205e-05,-2.9279717066073205,11,2000,1,2000,-2.4251929268451687e-05,-2.4251929268451686,21.59867187500004,1.6217815139187907e-05,11.12716293334961,8.703954696655273,Type 1 strong-monsoon,Type 1B higher-vorticity,11,11,1,0.0,0.0,0.0001364694444294,13.646944442943957,37.25,134.75,37.63553592557032,132.67945702537835,2.9279717066073205,32.20768877268053,1.6217815139187906,52.233834257583055,60.19900497512438,moderate-convergence,south-shifted,east-shifted,yes,,,,,,,,,,,
2000-02-07 13:00:00,2000-02-08 13:00:00,2000-02-08 00:00:00,-4.312035792416904e-05,-4.312035792416904,25,2000,2,2000,-1.957567489476574e-05,-1.957567489476574,8.146718749999991,1.4087366808719804e-05,8.544206619262695,8.269665718078613,Type 2 weak-monsoon,Type 2 weak-monsoon,25,25,1,0.0,0.0,0.0003688039186169,36.88039186169736,38.75,129.0,38.43149795133272,131.5850918277334,4.312035792416904,107.8008948104226,1.4087366808719803,151.86307475026422,98.0099502487562,high-convergence,central,west-shifted,yes,,,,,,,,,,,
2000-02-13 18:00:00,2000-02-16 01:00:00,2000-02-14 22:00:00,-3.603143821650983e-05,-3.603143821650983,56,2000,2,2000,-1.957567489476574e-05,-1.957567489476574,16.181249999999977,3.811840596927469e-06,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1A lower-vorticity,56,47,2,10.0,10.0,0.0001150682497799,11.50682497799295,40.0,130.0,38.33425670113571,131.17217593069697,3.603143821650983,201.77605401245503,0.3811840596927469,76.91381541725059,86.56716417910447,high-convergence,north-shifted,west-shifted,yes,,,,,,,,,,,
2000-02-17 08:00:00,2000-02-17 10:00:00,2000-02-17 09:00:00,-1.969221285758486e-05,-1.969221285758486,3,2000,2,2000,-1.957567489476574e-05,-1.957567489476574,17.46281250000004,-1.530003853409788e-07,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1A lower-vorticity,3,3,1,0.0,0.0,9.554857389719554e-05,9.554857389719556,36.0,134.5,37.5919418966698,133.01054348732387,1.969221285758486,5.907663857275458,0.0,0.0,4.477611940298507,low-convergence,south-shifted,east-shifted,yes,,,,,,,,,,,
2000-02-27 18:00:00,2000-02-28 04:00:00,2000-02-27 23:00:00,-3.168734772465115e-05,-3.168734772465115,11,2000,2,2000,-1.957567489476574e-05,-1.957567489476574,9.615859375000014,1.4953325986529946e-05,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1A lower-vorticity,11,11,1,0.0,0.0,0.0001224686807447,12.246868074474634,37.75,135.25,38.22739084167584,132.04185842231217,3.168734772465115,34.85608249711627,1.4953325986529946,52.12143641927603,73.13432835820896,high-convergence,south-shifted,east-shifted,yes,,,,,,,,,,,
2000-11-10 08:00:00,2000-11-10 15:00:00,2000-11-10 13:00:00,-2.066867269000309e-05,-2.0668672690003094,8,2000,11,2001,-1.8216529439979125e-05,-1.8216529439979128,5.495156249999923,-3.607462589979361e-06,6.145678043365479,7.906016826629639,Type 2 weak-monsoon,Type 2 weak-monsoon,8,8,1,0.0,0.0,0.0001350274862593,13.50274862593376,39.0,129.25,38.4647546430468,131.73111234635525,2.0668672690003094,16.534938152002475,0.0,0.0,9.950248756218906,low-convergence,north-shifted,west-shifted,yes,,,,,,,,,,,
2000-11-17 09:00:00,2000-11-17 12:00:00,2000-11-17 10:00:00,-2.043298892340748e-05,-2.043298892340748,4,2000,11,2001,-1.8216529439979125e-05,-1.8216529439979128,2.28125,5.172403259334846e-06,6.145678043365479,7.906016826629639,Type 2 weak-monsoon,Type 2 weak-monsoon,4,4,1,0.0,0.0,0.0001418328421541,14.183284215413275,40.75,129.5,38.76556611579127,132.21220958629863,2.043298892340748,8.173195569362992,0.5172403259334847,4.2275063402154265,8.955223880597014,low-convergence,north-shifted,west-shifted,yes,,,,,,,,,,,The peak convergence for this event seems to lie outside of the black polygon spatially averaged and temporally smoothed event metric for peak D.
2000-11-20 03:00:00,2000-11-20 09:00:00,2000-11-20 05:00:00,-2.0186762604752472e-05,-2.018676260475248,7,2000,11,2001,-1.8216529439979125e-05,-1.8216529439979128,-11.602343750000044,9.235350371944542e-06,6.145678043365479,7.906016826629639,Type 2 weak-monsoon,Type 2 weak-monsoon,7,7,1,0.0,0.0,0.0001413465287805,14.134652878053128,37.0,132.5,37.73876661208467,132.94058516605875,2.018676260475248,14.130733823326738,0.9235350371944542,13.050227787110993,6.965174129353234,low-convergence,south-shifted,central,yes,,,,,,,,,,,The peak convergence for this event seems to lie outside of the black polygon spatially averaged and temporally smoothed event metric for peak D.
